Year,Units,Federal state,GeoCode,County,Value
2000,1.000 EUR,,,,15.836
2001,1.000 EUR,,,,16.62
2002,1.000 EUR,,,,16.95
2003,1.000 EUR,,,,17.259
2004,1.000 EUR,,,,17.358
2005,1.000 EUR,,,,17.847
2006,1.000 EUR,,,,18.444
2007,1.000 EUR,,,,18.925
2008,1.000 EUR,,,,21.922
2009,1.000 EUR,,,,20.302
2010,1.000 EUR,,,,21.523
2011,1.000 EUR,,,,22.805
2012,1.000 EUR,,,,22.438
2013,1.000 EUR,,,,22.391
2014,1.000 EUR,,,,22.692
2015,1.000 EUR,,,,22.953
2016,1.000 EUR,,,,22.903
2017,1.000 EUR,,,,23.273
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,20.634
2001,1.000 EUR,,,,20.653
2002,1.000 EUR,,,,21.033
2003,1.000 EUR,,,,21.42
2004,1.000 EUR,,,,22.09
2005,1.000 EUR,,,,22.483
2006,1.000 EUR,,,,23.503
2007,1.000 EUR,,,,24.986
2008,1.000 EUR,,,,26.28
2009,1.000 EUR,,,,24.591
2010,1.000 EUR,,,,25.891
2011,1.000 EUR,,,,27.264
2012,1.000 EUR,,,,27.619
2013,1.000 EUR,,,,28.112
2014,1.000 EUR,,,,29.58
2015,1.000 EUR,,,,29.336
2016,1.000 EUR,,,,29.924
2017,1.000 EUR,,,,30.824
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,23.251
2001,1.000 EUR,,,,22.917
2002,1.000 EUR,,,,23.814
2003,1.000 EUR,,,,23.467
2004,1.000 EUR,,,,24.113
2005,1.000 EUR,,,,24.347
2006,1.000 EUR,,,,25.306
2007,1.000 EUR,,,,26.928
2008,1.000 EUR,,,,27.459
2009,1.000 EUR,,,,26.823
2010,1.000 EUR,,,,28.333
2011,1.000 EUR,,,,30.496
2012,1.000 EUR,,,,30.447
2013,1.000 EUR,,,,31.22
2014,1.000 EUR,,,,32.759
2015,1.000 EUR,,,,33.782
2016,1.000 EUR,,,,34.575
2017,1.000 EUR,,,,35.981
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,24.917
2001,1.000 EUR,,,,24.945
2002,1.000 EUR,,,,24.859
2003,1.000 EUR,,,,24.667
2004,1.000 EUR,,,,25.258
2005,1.000 EUR,,,,25.976
2006,1.000 EUR,,,,27.533
2007,1.000 EUR,,,,28.6
2008,1.000 EUR,,,,29.565
2009,1.000 EUR,,,,27.398
2010,1.000 EUR,,,,29.308
2011,1.000 EUR,,,,31.052
2012,1.000 EUR,,,,31.8
2013,1.000 EUR,,,,33.117
2014,1.000 EUR,,,,33.719
2015,1.000 EUR,,,,35.401
2016,1.000 EUR,,,,35.646
2017,1.000 EUR,,,,37.204
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,24.097
2001,1.000 EUR,,,,24.52
2002,1.000 EUR,,,,24.964
2003,1.000 EUR,,,,25.469
2004,1.000 EUR,,,,26.32
2005,1.000 EUR,,,,27.038
2006,1.000 EUR,,,,28.445
2007,1.000 EUR,,,,30.093
2008,1.000 EUR,,,,30.478
2009,1.000 EUR,,,,28.585
2010,1.000 EUR,,,,30.502
2011,1.000 EUR,,,,32.566
2012,1.000 EUR,,,,35.135
2013,1.000 EUR,,,,35.29
2014,1.000 EUR,,,,36.621
2015,1.000 EUR,,,,36.598
2016,1.000 EUR,,,,39.04
2017,1.000 EUR,,,,40.892
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,25.845
2001,1.000 EUR,,,,26.28
2002,1.000 EUR,,,,25.685
2003,1.000 EUR,,,,26.753
2004,1.000 EUR,,,,27.202
2005,1.000 EUR,,,,28.219
2006,1.000 EUR,,,,30.516
2007,1.000 EUR,,,,32.557
2008,1.000 EUR,,,,34.047
2009,1.000 EUR,,,,31.635
2010,1.000 EUR,,,,32.703
2011,1.000 EUR,,,,35.304
2012,1.000 EUR,,,,35.791
2013,1.000 EUR,,,,35.875
2014,1.000 EUR,,,,37.009
2015,1.000 EUR,,,,38.07
2016,1.000 EUR,,,,38.777
2017,1.000 EUR,,,,40.223
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,24.084
2001,1.000 EUR,,,,24.865
2002,1.000 EUR,,,,24.246
2003,1.000 EUR,,,,24.048
2004,1.000 EUR,,,,24.228
2005,1.000 EUR,,,,24.512
2006,1.000 EUR,,,,25.762
2007,1.000 EUR,,,,26.288
2008,1.000 EUR,,,,28.125
2009,1.000 EUR,,,,27.902
2010,1.000 EUR,,,,29.525
2011,1.000 EUR,,,,31.082
2012,1.000 EUR,,,,30.639
2013,1.000 EUR,,,,31.305
2014,1.000 EUR,,,,33.084
2015,1.000 EUR,,,,33.595
2016,1.000 EUR,,,,33.609
2017,1.000 EUR,,,,34.838
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,17.732
2001,1.000 EUR,,,,18.126
2002,1.000 EUR,,,,19.078
2003,1.000 EUR,,,,18.769
2004,1.000 EUR,,,,19.775
2005,1.000 EUR,,,,20.976
2006,1.000 EUR,,,,21.682
2007,1.000 EUR,,,,23.621
2008,1.000 EUR,,,,24.669
2009,1.000 EUR,,,,24.061
2010,1.000 EUR,,,,24.614
2011,1.000 EUR,,,,25.916
2012,1.000 EUR,,,,26.596
2013,1.000 EUR,,,,26.624
2014,1.000 EUR,,,,28.212
2015,1.000 EUR,,,,28.453
2016,1.000 EUR,,,,29.517
2017,1.000 EUR,,,,30.449
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,52.975
2001,1.000 EUR,,,,52.408
2002,1.000 EUR,,,,54.589
2003,1.000 EUR,,,,56.281
2004,1.000 EUR,,,,58.06
2005,1.000 EUR,,,,58.752
2006,1.000 EUR,,,,60.3
2007,1.000 EUR,,,,59.993
2008,1.000 EUR,,,,59.531
2009,1.000 EUR,,,,59.372
2010,1.000 EUR,,,,60.591
2011,1.000 EUR,,,,61.837
2012,1.000 EUR,,,,62.894
2013,1.000 EUR,,,,64.879
2014,1.000 EUR,,,,67.357
2015,1.000 EUR,,,,70.046
2016,1.000 EUR,,,,69.769
2017,1.000 EUR,,,,70.934
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,16.435
2001,1.000 EUR,,,,16.476
2002,1.000 EUR,,,,16.859
2003,1.000 EUR,,,,16.539
2004,1.000 EUR,,,,17.312
2005,1.000 EUR,,,,17.646
2006,1.000 EUR,,,,18.194
2007,1.000 EUR,,,,18.701
2008,1.000 EUR,,,,19.476
2009,1.000 EUR,,,,19.598
2010,1.000 EUR,,,,20.33
2011,1.000 EUR,,,,21.402
2012,1.000 EUR,,,,22.143
2013,1.000 EUR,,,,22.91
2014,1.000 EUR,,,,23.931
2015,1.000 EUR,,,,24.623
2016,1.000 EUR,,,,25.357
2017,1.000 EUR,,,,26.035
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,18.303
2001,1.000 EUR,,,,18.347
2002,1.000 EUR,,,,18.221
2003,1.000 EUR,,,,18.026
2004,1.000 EUR,,,,18.805
2005,1.000 EUR,,,,19.372
2006,1.000 EUR,,,,20.216
2007,1.000 EUR,,,,20.992
2008,1.000 EUR,,,,22.107
2009,1.000 EUR,,,,20.822
2010,1.000 EUR,,,,22.337
2011,1.000 EUR,,,,23.503
2012,1.000 EUR,,,,23.291
2013,1.000 EUR,,,,24.113
2014,1.000 EUR,,,,24.903
2015,1.000 EUR,,,,25.757
2016,1.000 EUR,,,,26.588
2017,1.000 EUR,,,,27.553
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,19.488
2001,1.000 EUR,,,,19.823
2002,1.000 EUR,,,,20.532
2003,1.000 EUR,,,,20.359
2004,1.000 EUR,,,,21.504
2005,1.000 EUR,,,,21.772
2006,1.000 EUR,,,,22.685
2007,1.000 EUR,,,,23.593
2008,1.000 EUR,,,,24.196
2009,1.000 EUR,,,,23.466
2010,1.000 EUR,,,,24.745
2011,1.000 EUR,,,,26.455
2012,1.000 EUR,,,,27.256
2013,1.000 EUR,,,,27.943
2014,1.000 EUR,,,,28.855
2015,1.000 EUR,,,,29.188
2016,1.000 EUR,,,,30.135
2017,1.000 EUR,,,,30.988
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,19.161
2001,1.000 EUR,,,,19.597
2002,1.000 EUR,,,,19.839
2003,1.000 EUR,,,,19.489
2004,1.000 EUR,,,,20.332
2005,1.000 EUR,,,,20.314
2006,1.000 EUR,,,,21.078
2007,1.000 EUR,,,,21.907
2008,1.000 EUR,,,,22.723
2009,1.000 EUR,,,,22.58
2010,1.000 EUR,,,,23.818
2011,1.000 EUR,,,,24.747
2012,1.000 EUR,,,,25.546
2013,1.000 EUR,,,,25.963
2014,1.000 EUR,,,,27.39
2015,1.000 EUR,,,,28.422
2016,1.000 EUR,,,,29.255
2017,1.000 EUR,,,,30.015
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,18.856
2001,1.000 EUR,,,,19.934
2002,1.000 EUR,,,,20.205
2003,1.000 EUR,,,,20.375
2004,1.000 EUR,,,,20.502
2005,1.000 EUR,,,,20.919
2006,1.000 EUR,,,,21.517
2007,1.000 EUR,,,,22.905
2008,1.000 EUR,,,,23.107
2009,1.000 EUR,,,,23.719
2010,1.000 EUR,,,,24.345
2011,1.000 EUR,,,,25.023
2012,1.000 EUR,,,,25.844
2013,1.000 EUR,,,,26.245
2014,1.000 EUR,,,,27.796
2015,1.000 EUR,,,,28.991
2016,1.000 EUR,,,,29.772
2017,1.000 EUR,,,,30.922
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,20.097
2001,1.000 EUR,,,,20.312
2002,1.000 EUR,,,,20.777
2003,1.000 EUR,,,,21.399
2004,1.000 EUR,,,,21.845
2005,1.000 EUR,,,,21.638
2006,1.000 EUR,,,,22.293
2007,1.000 EUR,,,,23.455
2008,1.000 EUR,,,,24.096
2009,1.000 EUR,,,,23.353
2010,1.000 EUR,,,,24.32
2011,1.000 EUR,,,,26.41
2012,1.000 EUR,,,,26.525
2013,1.000 EUR,,,,28.195
2014,1.000 EUR,,,,29.271
2015,1.000 EUR,,,,30.41
2016,1.000 EUR,,,,30.662
2017,1.000 EUR,,,,31.69
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,22.312
2001,1.000 EUR,,,,22.019
2002,1.000 EUR,,,,22.135
2003,1.000 EUR,,,,22.261
2004,1.000 EUR,,,,22.502
2005,1.000 EUR,,,,23.402
2006,1.000 EUR,,,,24.455
2007,1.000 EUR,,,,25.979
2008,1.000 EUR,,,,26.125
2009,1.000 EUR,,,,24.443
2010,1.000 EUR,,,,26.089
2011,1.000 EUR,,,,27.281
2012,1.000 EUR,,,,28.111
2013,1.000 EUR,,,,28.031
2014,1.000 EUR,,,,29.079
2015,1.000 EUR,,,,29.87
2016,1.000 EUR,,,,30.437
2017,1.000 EUR,,,,31.448
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,21.002
2001,1.000 EUR,,,,20.473
2002,1.000 EUR,,,,20.7
2003,1.000 EUR,,,,21.0
2004,1.000 EUR,,,,21.921
2005,1.000 EUR,,,,21.973
2006,1.000 EUR,,,,23.253
2007,1.000 EUR,,,,24.132
2008,1.000 EUR,,,,25.53
2009,1.000 EUR,,,,24.267
2010,1.000 EUR,,,,27.29
2011,1.000 EUR,,,,29.279
2012,1.000 EUR,,,,29.394
2013,1.000 EUR,,,,30.018
2014,1.000 EUR,,,,32.857
2015,1.000 EUR,,,,33.769
2016,1.000 EUR,,,,34.024
2017,1.000 EUR,,,,35.198
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,17.635
2001,1.000 EUR,,,,17.897
2002,1.000 EUR,,,,18.785
2003,1.000 EUR,,,,18.436
2004,1.000 EUR,,,,18.924
2005,1.000 EUR,,,,18.613
2006,1.000 EUR,,,,19.47
2007,1.000 EUR,,,,20.048
2008,1.000 EUR,,,,20.096
2009,1.000 EUR,,,,20.08
2010,1.000 EUR,,,,21.203
2011,1.000 EUR,,,,22.271
2012,1.000 EUR,,,,23.139
2013,1.000 EUR,,,,23.431
2014,1.000 EUR,,,,23.914
2015,1.000 EUR,,,,24.878
2016,1.000 EUR,,,,25.033
2017,1.000 EUR,,,,26.26
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,21.544
2001,1.000 EUR,,,,21.584
2002,1.000 EUR,,,,22.291
2003,1.000 EUR,,,,22.032
2004,1.000 EUR,,,,22.302
2005,1.000 EUR,,,,22.952
2006,1.000 EUR,,,,24.686
2007,1.000 EUR,,,,26.479
2008,1.000 EUR,,,,26.832
2009,1.000 EUR,,,,26.032
2010,1.000 EUR,,,,28.346
2011,1.000 EUR,,,,29.181
2012,1.000 EUR,,,,30.417
2013,1.000 EUR,,,,30.555
2014,1.000 EUR,,,,33.159
2015,1.000 EUR,,,,34.352
2016,1.000 EUR,,,,34.097
2017,1.000 EUR,,,,35.265
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,32.452
2001,1.000 EUR,,,,33.474
2002,1.000 EUR,,,,34.397
2003,1.000 EUR,,,,35.177
2004,1.000 EUR,,,,36.828
2005,1.000 EUR,,,,36.961
2006,1.000 EUR,,,,37.461
2007,1.000 EUR,,,,37.189
2008,1.000 EUR,,,,38.829
2009,1.000 EUR,,,,37.453
2010,1.000 EUR,,,,37.651
2011,1.000 EUR,,,,38.755
2012,1.000 EUR,,,,39.102
2013,1.000 EUR,,,,39.501
2014,1.000 EUR,,,,41.919
2015,1.000 EUR,,,,42.585
2016,1.000 EUR,,,,42.492
2017,1.000 EUR,,,,43.822
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,19.326
2001,1.000 EUR,,,,19.477
2002,1.000 EUR,,,,20.17
2003,1.000 EUR,,,,21.215
2004,1.000 EUR,,,,21.429
2005,1.000 EUR,,,,21.554
2006,1.000 EUR,,,,22.495
2007,1.000 EUR,,,,23.671
2008,1.000 EUR,,,,24.662
2009,1.000 EUR,,,,24.536
2010,1.000 EUR,,,,25.287
2011,1.000 EUR,,,,26.955
2012,1.000 EUR,,,,27.539
2013,1.000 EUR,,,,28.51
2014,1.000 EUR,,,,29.967
2015,1.000 EUR,,,,31.313
2016,1.000 EUR,,,,32.752
2017,1.000 EUR,,,,33.452
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,18.202
2001,1.000 EUR,,,,18.63
2002,1.000 EUR,,,,19.529
2003,1.000 EUR,,,,19.902
2004,1.000 EUR,,,,20.663
2005,1.000 EUR,,,,20.011
2006,1.000 EUR,,,,20.914
2007,1.000 EUR,,,,22.511
2008,1.000 EUR,,,,22.862
2009,1.000 EUR,,,,22.556
2010,1.000 EUR,,,,23.263
2011,1.000 EUR,,,,24.794
2012,1.000 EUR,,,,25.896
2013,1.000 EUR,,,,27.362
2014,1.000 EUR,,,,26.113
2015,1.000 EUR,,,,27.233
2016,1.000 EUR,,,,27.451
2017,1.000 EUR,,,,28.455
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,19.711
2001,1.000 EUR,,,,20.078
2002,1.000 EUR,,,,20.496
2003,1.000 EUR,,,,20.592
2004,1.000 EUR,,,,21.045
2005,1.000 EUR,,,,21.944
2006,1.000 EUR,,,,21.452
2007,1.000 EUR,,,,22.157
2008,1.000 EUR,,,,23.572
2009,1.000 EUR,,,,22.962
2010,1.000 EUR,,,,24.461
2011,1.000 EUR,,,,26.523
2012,1.000 EUR,,,,26.711
2013,1.000 EUR,,,,28.066
2014,1.000 EUR,,,,29.404
2015,1.000 EUR,,,,30.96
2016,1.000 EUR,,,,31.695
2017,1.000 EUR,,,,32.352
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,13.181
2001,1.000 EUR,,,,12.937
2002,1.000 EUR,,,,13.186
2003,1.000 EUR,,,,13.39
2004,1.000 EUR,,,,13.511
2005,1.000 EUR,,,,13.72
2006,1.000 EUR,,,,13.994
2007,1.000 EUR,,,,15.075
2008,1.000 EUR,,,,14.744
2009,1.000 EUR,,,,14.199
2010,1.000 EUR,,,,14.787
2011,1.000 EUR,,,,16.481
2012,1.000 EUR,,,,16.992
2013,1.000 EUR,,,,18.748
2014,1.000 EUR,,,,18.98
2015,1.000 EUR,,,,19.312
2016,1.000 EUR,,,,20.258
2017,1.000 EUR,,,,20.508
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,23.488
2001,1.000 EUR,,,,24.759
2002,1.000 EUR,,,,24.599
2003,1.000 EUR,,,,24.682
2004,1.000 EUR,,,,24.622
2005,1.000 EUR,,,,25.564
2006,1.000 EUR,,,,26.555
2007,1.000 EUR,,,,28.523
2008,1.000 EUR,,,,29.663
2009,1.000 EUR,,,,29.104
2010,1.000 EUR,,,,30.303
2011,1.000 EUR,,,,30.893
2012,1.000 EUR,,,,32.319
2013,1.000 EUR,,,,32.354
2014,1.000 EUR,,,,33.088
2015,1.000 EUR,,,,32.677
2016,1.000 EUR,,,,32.662
2017,1.000 EUR,,,,33.406
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,34.129
2001,1.000 EUR,,,,33.392
2002,1.000 EUR,,,,34.015
2003,1.000 EUR,,,,36.336
2004,1.000 EUR,,,,37.038
2005,1.000 EUR,,,,35.352
2006,1.000 EUR,,,,36.966
2007,1.000 EUR,,,,38.083
2008,1.000 EUR,,,,38.644
2009,1.000 EUR,,,,38.065
2010,1.000 EUR,,,,39.071
2011,1.000 EUR,,,,39.64
2012,1.000 EUR,,,,39.578
2013,1.000 EUR,,,,40.477
2014,1.000 EUR,,,,45.373
2015,1.000 EUR,,,,45.994
2016,1.000 EUR,,,,48.037
2017,1.000 EUR,,,,48.693
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
1997,1.000 EUR,,,,
1998,1.000 EUR,,,,
1999,1.000 EUR,,,,
2000,1.000 EUR,,,,29.313
2001,1.000 EUR,,,,29.211
2002,1.000 EUR,,,,29.491
2003,1.000 EUR,,,,30.872
2004,1.000 EUR,,,,32.363
2005,1.000 EUR,,,,33.078
2006,1.000 EUR,,,,34.038
2007,1.000 EUR,,,,34.703
2008,1.000 EUR,,,,34.662
2009,1.000 EUR,,,,35.271
2010,1.000 EUR,,,,34.848
2011,1.000 EUR,,,,36.226
2012,1.000 EUR,,,,37.336
2013,1.000 EUR,,,,38.87
2014,1.000 EUR,,,,39.651
2015,1.000 EUR,,,,40.598
2016,1.000 EUR,,,,40.957
2017,1.000 EUR,,,,42.021
2018,1.000 EUR,,,,
2019,1.000 EUR,,,,
2020,1.000 EUR,,,,
2021,1.000 EUR,,,,
1991,1.000 EUR,,,,
1992,1.000 EUR,,,,
1993,1.000 EUR,,,,
1994,1.000 EUR,,,,
1995,1.000 EUR,,,,
1996,1.000 EUR,,,,
